Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Yemen,0.79,0.79,0.8,0.8,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.8,0.79,0.81,0.81,0.8,0.8,0.79,0.79,0.78,0.78,0.78,0.78,0.77
Zambia,0.67,0.66,0.65,0.65,0.64,0.64,0.64,0.65,0.65,0.65,0.66,0.65,0.64,0.64,0.63,0.62,0.61,0.6,0.6,0.6,0.59,0.6,0.59,0.59
Zimbabwe,0.63,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.63,0.62,0.62,0.61,0.61,0.59,0.58,0.58,0.58,0.57,0.57,0.56,0.55,0.51
Africa,0.67,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.64,0.64,0.64,0.63,0.63,0.62,0.61,0.6,0.6,0.59,0.59,0.58,0.58,0.58,0.57,0.56
Asia,0.5,0.49,0.48,0.48,0.47,0.46,0.46,0.46,0.46,0.45,0.44,0.43,0.43,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.36,0.36,0.35,0.34
Caribbean and Pacific Islands,0.58,0.56,0.55,0.54,0.53,0.52,0.51,0.51,0.51,0.5,0.5,0.5,0.49,0.5,0.48,0.45,0.45,0.46,0.48,0.48,0.51,0.48,0.45,0.44
Europe,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.24,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.14,0.14
Middle East and Central Asia,0.69,0.68,0.67,0.67,0.66,0.65,0.65,0.63,0.62,0.62,0.6,0.59,0.57,0.57,0.56,0.54,0.51,0.48,0.48,0.47,0.46,0.46,0.45,0.42
Western Hemisphere,0.54,0.53,0.53,0.52,0.52,0.51,0.51,0.51,0.49,0.49,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.44,0.44,0.43,0.43,0.42,0.42
Advanced Economies,0.24,0.23,0.22,0.21,0.2,0.2,0.19,0.2,0.19,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.11,0.11
Emerging Markets,0.56,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.47,0.47,0.46,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.38
Identified as gender budgeting country in IMF regional survey,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.52,0.51,0.5,0.5,0.49,0.48,0.48,0.47,0.46,0.45,0.44,0.44,0.43,0.42,0.42,0.41,0.4
Low Income Developing Countries,0.68,0.67,0.67,0.66,0.66,0.66,0.66,0.65,0.64,0.64,0.63,0.62,0.62,0.61,0.61,0.6,0.6,0.58,0.58,0.57,0.56,0.56,0.55,0.54
Other countries,0.54,0.53,0.52,0.52,0.51,0.49,0.5,0.52,0.52,0.51,0.53,0.51,0.51,0.5,0.5,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.46,0.45
Other gender budgeting countries covered in the surveys,0.59,0.59,0.58,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.56,0.54,0.54,0.53,0.53,0.51,0.5,0.49,0.49,0.48,0.47,0.47,0.46,0.45
Prominent gender budgeting countries covered in the surveys,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.32,0.31
